"","station","UTC","temp","node","day"
"284","KW23",2015-08-08,30.8,"KWLine_outside",2015-08-08
"285","KW22",2015-08-08,30.2,"KWLine_outside",2015-08-08
"286","KW21",2015-08-08,29.9,"KWLine_outside",2015-08-08
"287","KW20",2015-08-08,31.3,"KWLine_outside",2015-08-08
"288","KW19",2015-08-08,31.6,"KWLine_outside",2015-08-08
"289","KW24",2015-08-09,28.7,"KWLine_outside",2015-08-09
"290","KW23",2015-08-09,30.5,"KWLine_outside",2015-08-09
"291","KW22",2015-08-09,29.6,"KWLine_outside",2015-08-09
"292","KW21",2015-08-09,29.2,"KWLine_outside",2015-08-09
"293","KW20",2015-08-09,31.2,"KWLine_outside",2015-08-09
"294","KW19",2015-08-09,31.5,"KWLine_outside",2015-08-09
"295","KW24",2015-08-10,29.2,"KWLine_outside",2015-08-10
"296","KW23",2015-08-10,30.6,"KWLine_outside",2015-08-10
"297","KW22",2015-08-10,29.4,"KWLine_outside",2015-08-10
"298","KW21",2015-08-10,29.2,"KWLine_outside",2015-08-10
"299","KW20",2015-08-10,31,"KWLine_outside",2015-08-10
"300","KW19",2015-08-10,31.3,"KWLine_outside",2015-08-10
"301","KW24",2015-08-11,28.7,"KWLine_outside",2015-08-11
"302","KW23",2015-08-11,30.7,"KWLine_outside",2015-08-11
"303","KW22",2015-08-11,29.7,"KWLine_outside",2015-08-11
"304","KW21",2015-08-11,29.4,"KWLine_outside",2015-08-11
"305","KW20",2015-08-11,31,"KWLine_outside",2015-08-11
"306","KW19",2015-08-11,31.4,"KWLine_outside",2015-08-11
"307","KW24",2015-08-12,27.6,"KWLine_outside",2015-08-12
"308","KW23",2015-08-12,30.2,"KWLine_outside",2015-08-12
"309","KW22",2015-08-12,29.3,"KWLine_outside",2015-08-12
"310","KW21",2015-08-12,29,"KWLine_outside",2015-08-12
"311","KW20",2015-08-12,31,"KWLine_outside",2015-08-12
"312","KW19",2015-08-12,31.3,"KWLine_outside",2015-08-12
"313","KW24",2015-08-13,26.7,"KWLine_outside",2015-08-13
"314","KW23",2015-08-13,29.7,"KWLine_outside",2015-08-13
"315","KW22",2015-08-13,28.8,"KWLine_outside",2015-08-13
"316","KW21",2015-08-13,28.4,"KWLine_outside",2015-08-13
"317","KW20",2015-08-13,30.8,"KWLine_outside",2015-08-13
"318","KW19",2015-08-13,31.2,"KWLine_outside",2015-08-13
"319","KW24",2015-08-14,26.5,"KWLine_outside",2015-08-14
"320","KW23",2015-08-14,29.7,"KWLine_outside",2015-08-14
"321","KW22",2015-08-14,28.3,"KWLine_outside",2015-08-14
"322","KW21",2015-08-14,27.9,"KWLine_outside",2015-08-14
"323","KW20",2015-08-14,31,"KWLine_outside",2015-08-14
"324","KW19",2015-08-14,31.3,"KWLine_outside",2015-08-14
"325","KW24",2015-08-15,27.1,"KWLine_outside",2015-08-15
"326","KW23",2015-08-15,30.3,"KWLine_outside",2015-08-15
"327","KW22",2015-08-15,27.8,"KWLine_outside",2015-08-15
"328","KW21",2015-08-15,27.5,"KWLine_outside",2015-08-15
"329","KW20",2015-08-15,31.3,"KWLine_outside",2015-08-15
"330","KW19",2015-08-15,31.6,"KWLine_outside",2015-08-15
"331","KW24",2015-08-16,28.1,"KWLine_outside",2015-08-16
"332","KW23",2015-08-16,30.8,"KWLine_outside",2015-08-16
"333","KW22",2015-08-16,28.2,"KWLine_outside",2015-08-16
"334","KW21",2015-08-16,28.1,"KWLine_outside",2015-08-16
"335","KW20",2015-08-16,31.7,"KWLine_outside",2015-08-16
"336","KW19",2015-08-16,32,"KWLine_outside",2015-08-16
"337","KW24",2015-08-17,29.1,"KWLine_outside",2015-08-17
"338","KW23",2015-08-17,31,"KWLine_outside",2015-08-17
"339","KW22",2015-08-17,28.5,"KWLine_outside",2015-08-17
"340","KW21",2015-08-17,28.3,"KWLine_outside",2015-08-17
"341","KW20",2015-08-17,31.3,"KWLine_outside",2015-08-17
"342","KW19",2015-08-17,31.7,"KWLine_outside",2015-08-17
"343","KW24",2015-08-18,27.7,"KWLine_outside",2015-08-18
"344","KW23",2015-08-18,30.9,"KWLine_outside",2015-08-18
"345","KW22",2015-08-18,28.8,"KWLine_outside",2015-08-18
"346","KW21",2015-08-18,28.4,"KWLine_outside",2015-08-18
"347","KW20",2015-08-18,31.2,"KWLine_outside",2015-08-18
"348","KW19",2015-08-18,31.6,"KWLine_outside",2015-08-18
"349","KW24",2015-08-19,27,"KWLine_outside",2015-08-19
"350","KW23",2015-08-19,30.1,"KWLine_outside",2015-08-19
"351","KW22",2015-08-19,28.1,"KWLine_outside",2015-08-19
"352","KW21",2015-08-19,27.7,"KWLine_outside",2015-08-19
"353","KW20",2015-08-19,31.3,"KWLine_outside",2015-08-19
"354","KW19",2015-08-19,31.6,"KWLine_outside",2015-08-19
"355","KW24",2015-08-20,27.2,"KWLine_outside",2015-08-20
"356","KW23",2015-08-20,30,"KWLine_outside",2015-08-20
"357","KW22",2015-08-20,28,"KWLine_outside",2015-08-20
"358","KW21",2015-08-20,27.8,"KWLine_outside",2015-08-20
"359","KW20",2015-08-20,31,"KWLine_outside",2015-08-20
"360","KW19",2015-08-20,31.2,"KWLine_outside",2015-08-20
"361","KW24",2015-08-21,27.2,"KWLine_outside",2015-08-21
"362","KW23",2015-08-21,29.8,"KWLine_outside",2015-08-21
"363","KW22",2015-08-21,28.2,"KWLine_outside",2015-08-21
"364","KW21",2015-08-21,28,"KWLine_outside",2015-08-21
"365","KW20",2015-08-21,30.6,"KWLine_outside",2015-08-21
"366","KW19",2015-08-21,30.8,"KWLine_outside",2015-08-21
"367","KW24",2015-08-22,27.1,"KWLine_outside",2015-08-22
"368","KW23",2015-08-22,29.8,"KWLine_outside",2015-08-22
"369","KW22",2015-08-22,28.2,"KWLine_outside",2015-08-22
"370","KW21",2015-08-22,27.8,"KWLine_outside",2015-08-22
"371","KW20",2015-08-22,30.6,"KWLine_outside",2015-08-22
"372","KW19",2015-08-22,30.8,"KWLine_outside",2015-08-22
"373","KW24",2015-08-23,27.5,"KWLine_outside",2015-08-23
"374","KW23",2015-08-23,30.5,"KWLine_outside",2015-08-23
"375","KW22",2015-08-23,28.2,"KWLine_outside",2015-08-23
"376","KW21",2015-08-23,28,"KWLine_outside",2015-08-23
"377","KW20",2015-08-23,30.6,"KWLine_outside",2015-08-23
"378","KW19",2015-08-23,31,"KWLine_outside",2015-08-23
"379","KW24",2015-08-24,26.5,"KWLine_outside",2015-08-24
"380","KW23",2015-08-24,30.3,"KWLine_outside",2015-08-24
"381","KW22",2015-08-24,28.1,"KWLine_outside",2015-08-24
"382","KW21",2015-08-24,28.3,"KWLine_outside",2015-08-24
"383","KW20",2015-08-24,30.7,"KWLine_outside",2015-08-24
"384","KW19",2015-08-24,31.1,"KWLine_outside",2015-08-24
"385","KW24",2015-08-25,26.8,"KWLine_outside",2015-08-25
"386","KW23",2015-08-25,30.1,"KWLine_outside",2015-08-25
"387","KW22",2015-08-25,28.1,"KWLine_outside",2015-08-25
"388","KW21",2015-08-25,28.5,"KWLine_outside",2015-08-25
"389","KW20",2015-08-25,30.9,"KWLine_outside",2015-08-25
"390","KW19",2015-08-25,31.2,"KWLine_outside",2015-08-25
"391","KW24",2015-08-26,26.7,"KWLine_outside",2015-08-26
"392","KW23",2015-08-26,30.1,"KWLine_outside",2015-08-26
"393","KW22",2015-08-26,28.2,"KWLine_outside",2015-08-26
"394","KW21",2015-08-26,28.3,"KWLine_outside",2015-08-26
"395","KW20",2015-08-26,30.8,"KWLine_outside",2015-08-26
"396","KW19",2015-08-26,31.2,"KWLine_outside",2015-08-26
"397","KW24",2015-08-27,26.1,"KWLine_outside",2015-08-27
"398","KW23",2015-08-27,29.8,"KWLine_outside",2015-08-27
"399","KW22",2015-08-27,28.4,"KWLine_outside",2015-08-27
"400","KW21",2015-08-27,28.4,"KWLine_outside",2015-08-27
"401","KW20",2015-08-27,30.7,"KWLine_outside",2015-08-27
"402","KW19",2015-08-27,31.1,"KWLine_outside",2015-08-27
"403","KW24",2015-08-28,25.5,"KWLine_outside",2015-08-28
"404","KW23",2015-08-28,29.5,"KWLine_outside",2015-08-28
"405","KW22",2015-08-28,27.9,"KWLine_outside",2015-08-28
"406","KW21",2015-08-28,27.9,"KWLine_outside",2015-08-28
"407","KW20",2015-08-28,30.6,"KWLine_outside",2015-08-28
"408","KW19",2015-08-28,31,"KWLine_outside",2015-08-28
"409","KW24",2015-08-29,25.2,"KWLine_outside",2015-08-29
